index	title	release date	hero	heroine	director	genre	ratings
249	Aashanyein	2010	john abraham	sonal sehgal	nagesh kukunoor	comed,music,rama	7.1
250	Knock out	2010	sanjay dutt	Kangana Ranaut	mani shankar	thriller	5.9
251	Shaapit	2010	aditya narayan	shweta agarwal	vikram bhatt	thriller	5.5
252	Milenge Milenge	2010	Shahid Kapoor	Kareena Kapoor	satish kaushik	drama,romance	4.1
253	3 Idiots	2009	Aamir Khan	Kareena Kapoor	Rajkumar Hirani	drama	8.4
254	Dev D.	2009	abhay deol	Mahie Gill	Anurag Kashyap	drama,romance	8
255	Wanted	2009	Salman Khan	Aisha takiya	prabhu Deva	thriller	6.6
256	Kaminey	2009	Shahid Kapoor	Priyanka Chopra	Vishal Bhardwaj	thriller ,drama	7.4
257	Love aaj kal	2009	Saif Ali Khan	Deepika Padukone	Imtiaz Ali	comedy,music,drama	6.8
258	Wake up sid	2009	Ranbir Kapoor	konkona sen sharma	Ayan Mukherji	drama ,romance	7.6
259	Ajab prem ki gazab kahani	2009	Ranbir Kapoor 	katrina kaif	Rajkumar Santoshi	 comedy,music	6.3
260	Paa	2009	Amitabh Bachchan	Vidya Balan	r.baki	drama	7.2
261	luck by chance	2009	hritik Roshan	konkona sen sharma	Zoya Akhtar	drama	7
262	kambakht ishq	2009	Akshay Kumar	Kareena Kapoor	Sabir  Khan	drama	3.8
263	kurbaan	2009	Saif Ali Khan	Kareena Kapoor	reansil.d'silva	drama,thriller	5.7
264	chandani chowk to china	2009	Akshay Kumar	Deepika Padukone	Nikkhil Advani	fantasy,comedy,music	4
265	Aaladin	2009	Ritesh Deshmukh	Jacqline Fernandez	sujoy gosh	fantasy ,drama	4.6
266	New york	2009	john abraham	katrina kaif	Kabir Khan	thriller	6.8
267	Dil bole Hadippa	2009	Shahid Kapoor	rani mukerji	anurag singh	drama	4.5
268	Raaz 3	2009	emraan khan	esha gupta	vikram bhatt	drama	4
269	Delhi 6	2009	Abhishekh Bachchan	Sonam Kapoor	Rakeysh Omprakash Mehra	drama,comedy,music	6
270	De Dana Dan	2009	Akshay Kumar	katrina kaif	Priyadarshan	drama music	5.3
271	Billu	2009	Shahrukh Khan	Kareena Kapoor	Priyadarshan	drama comey	6.1
272	Life partner	2009	fardeen khan	Genelia Desouza	rumi jaffer	comedy, music	5.2
273	nintynine	2009	kunal khemu	simone singhe	Krishna D K	comedy,music	7.3
274	Whats your rashee	2009	Harman Baweja	Priyanka Chopra	Ashutosh Gowariker	comedy, music	4.6
275	Do knot Disturb	2009	Govinda	Lara Dutta	David Dhavan	Drama,Comedy	3.6
276	blue	2009	Akshay Kumar	katrina kaif	Anthony Dsouza	Thriller	3.7
277	Sikander	2009	Parzan Dastur	Ayesha Kapur	Piyush Jha	thriller,drama	6.4
278	Tum Mile	2009	Emraan hashmi	Soha Ali Khan	Kunal Deshmukh	Comedy, Romance	4.9
279	Jai veeru	2009	kunal khemu	Anjana Sukhani	puneet sira	Drama	3.5
280	Aaloo Chatt	2009	Aftab Shivdasani	Amna sharif	Robby Grewal	comedy,music	5.8
281	Shortkut	2009	anil kapoor	amrita rao	neeraj vora	comedy,music ,musical	3.4
282	Paying guest	2009	vatsal sheth	calina jaitly	paritosh painter	drama	4.2
283	Main aur Mrs Khanna	2009	salman khan	Kareena Kapoor	prem raj	comedy,music	3.6
284	Aah Dekhen Zara	2009	niel nitin mukesh	Bipasha Basu	viki rajani	thriller	5
285	London Dreams	2009	Salman Khan	Asin	vipul shah	Drama	5.4
286	Chintu ji	2009	Rishi Kapoor	Kulraj randhawa	bobby bedi	drama	5.8
287	victory	2009	Harman Baweja	amrita rao	ajit palmangat	sport	3.7
288	Sankat city	2009	k. k. Menon	rimi sen	pankaj advani	thriller,drama	6.2
289	Aao wish kare	2009	Aftab Shivdasani	Amna sharif	glen parrito	drama, fantasy	5.1
290	Dhoondte Reh jaaoge	2009	kunal khemu	Soha Ali Khan	umesh shukla	comedy,music	5.6
291	Jail	2009	neil nitin mukesh	mugdha godse	madhur bhandarkar	drama	6.2
292	Ghajani	2008	Aamir Khan	Asin 	A R Murugadoss	drama,mystry	7.3
293	Jodha Akbar	2008	Hrithik Roshan	Aishwarya Rai	Ashutosh Gowariker	Drama,Action,Romance	7.6
294	Singh is King	2008	Akshay Kumar	Katrina Kaif	Anees Bazmee	crime,comedy,music	5.6
295	Rab ne bana di jodi	2008	Shahrukh khan	Anushka Sharma	aditya chopra	drama	7.1
296	Dostana	2008	John Abraham 	Priyanka Chopra 	tanu mansukhani	comedy,music,drama	6.5
297	Rock on	2008	Farhan Akhtar	prachi desai	abhishek kapoor	drama,music	7.8
298	Jaane tu ya jaane na	2008	Imran Khan	Genelia Desouza	abbas tyrewala	comedy,music	7.5
299	Golmaal Returns	2008	Ajay devgan	Kareena Kapoor	Rohit shetty	drama	5.1
300	Race	2008	Saif Ali khan	Katrina Kaif	Mustan burmawala	drama,crime	6.6
301	oye lucky lucky oye	2008	abhay deol	neetu chandra	Dibakar Banarjee	Crime	7.7
302	mumbai meri jaan	2008	R Madhavan	Soha Ali Khan	Nishikant Kamat	drama,musical	7.7
303	bachana ae haseeno	2008	Ranbir Kapoor	Deepika Padukone	sidharth anand	drama	6.2
304	Yuvraaj	2008	salman khan	Katrina Kaif	subhash ghai	comedy,music	4.1
305	welcome to sajjanpur	2008	shreyas talpade	amrita rao	shyam benegal	comedy,music	6.9
306	jannat	2008	Emraan hashmi	sonal chauhan	Kunal Deshmukh	drama	6.9
